ID_ETU1;ID_ETU2;BEST_ETU
4928;7791;7791
4302;7448;7448
1005;8816;1005
1970;2533;2533
3203;1186;1186
3057;3928;3057
7636;647;647
2843;9681;2843
1530;9920;9920
4303;1455;1455
8598;4179;4179
7535;7337;7535
9627;607;9627
5960;262;5960
8080;7524;8080
6140;2716;2716
7481;1338;1338
9088;361;9088
760;9532;760
3090;4523;3090
6931;5837;6931
418;6391;6391
8023;7540;7540
9341;4899;4899
4810;2434;2434
6859;1367;1367
9385;8237;9385
8183;8619;8619
7503;5900;5900
3493;7970;7970
6521;8919;8919
7963;9095;9095
844;1296;1296
4471;2430;2430
1565;5246;1565
1680;9710;1680
290;7344;290
447;1584;1584
8006;6728;8006
1130;9820;9820
8198;6376;8198
4193;3706;4193
4852;6577;6577
4359;9951;4359
9933;4155;4155
6604;2731;6604
5042;1083;1083
8074;772;772
382;279;279
2659;1463;2659
6130;9332;9332
5060;1202;1202
1960;7888;7888
4721;278;278
7107;5310;7107
8235;9775;8235
8858;4652;8858
5986;5585;5585
5161;6302;5161
1655;3534;1655
3610;1357;3610
7636;7037;7037
1567;5094;5094
7590;4423;7590
9839;4079;4079
743;2902;743
4021;9737;4021
7131;6335;6335
5038;2413;2413
4674;8848;4674
6006;7931;7931
1090;3266;1090
8382;5920;8382
5888;9801;9801
9384;4159;9384
6528;2288;2288
2165;1298;2165
2302;1238;2302
407;6220;407
3674;3719;3674
8860;7278;8860
7195;8281;7195
7628;2186;2186
9296;8890;8890
9138;6620;9138
2949;8835;2949
941;1671;941
7769;3479;3479
8411;9557;9557
1087;8211;1087
5883;6736;5883
9798;9239;9798
7592;7870;7592
5344;9772;5344
7100;2317;2317
4236;5133;4236
294;3722;3722
5092;4040;5092
8650;1097;1097
7648;3384;3384
3953;1198;1198
5784;8330;8330
4011;7420;7420
8970;33;8970
8808;5078;5078
9637;103;9637
8534;9988;9988
6558;6313;6313
6877;4032;4032
7542;7380;7380
3448;5269;3448
5286;4638;4638
9705;9510;9510
7697;4469;4469
4705;2442;4705
3817;6583;6583
721;8743;721
4906;3173;3173
2183;2521;2521
7471;9146;7471
2207;2341;2207
8683;9474;8683
8400;4095;4095
1128;1299;1299
1568;3415;1568
5180;6895;6895
9938;2165;9938
1298;1691;1691
3175;1752;3175
5568;8898;5568
2702;7415;2702
5919;2264;2264
7688;402;402
1179;6276;1179
3194;6721;6721
3123;9483;9483
5938;3029;5938
2689;3570;3570
8226;28;28
3411;4837;4837
9180;1277;1277
1558;5889;5889
5169;4521;4521
8457;1406;8457
431;5281;5281
1052;979;1052
8741;2546;8741
8387;2191;8387
8771;8990;8990
7518;6783;7518
4448;1296;1296
6202;3681;6202
3907;6337;6337
5413;8167;5413
5363;3518;5363
8322;1949;1949
4296;8410;8410
8183;2354;8183
2189;9694;2189
7404;3416;3416
1757;3979;1757
2898;2290;2898
791;608;791
5075;878;878
474;5873;5873
240;508;240
1163;9634;9634
2640;3235;2640
2410;2205;2205
9873;9088;9088
344;8380;344
2837;5915;2837
9002;7916;9002
5699;2907;2907
6820;3387;6820
6767;5410;5410
8567;7417;7417
6615;9031;6615
7056;8981;7056
7576;4046;7576
3318;1520;1520
5847;3669;3669
107;4633;4633
3497;4235;3497
8374;4448;8374
3980;5119;3980
4881;3169;4881
4953;8778;8778
6467;8773;8773
601;6238;6238
2406;9172;9172
9331;1243;9331
240;3249;3249
2;8660;8660
5810;139;5810
2374;9380;2374
7801;7717;7717
8846;7722;7722
5719;7469;7469
2764;292;292
8531;7644;7644
5867;9863;9863
5140;3207;5140
4148;1182;4148
3730;1274;1274
3832;5790;3832
4242;9937;4242
6576;2857;6576
6903;4263;4263
1282;7929;7929
610;8301;610
1320;7001;7001
7833;6041;6041
3179;5839;3179
3442;4639;3442
4405;7263;4405
7379;8821;8821
7187;2599;2599
1335;9254;1335
9960;6091;9960
724;3247;724
9366;7004;9366
2768;6476;2768
6716;7263;7263
2084;8004;8004
5582;6062;5582
1439;2202;2202
9455;1982;1982
3230;9333;3230
9928;6820;9928
9364;8419;9364
7531;4757;7531
6337;3516;3516
6358;954;6358
1637;2080;1637
5674;6222;6222
6673;3128;6673
9604;2932;2932
4820;6776;6776
2742;2865;2865
8102;1878;1878
1117;1590;1590
5626;3806;3806
8253;65;65
9007;1994;9007
4634;2040;4634
3688;9072;9072
97;36;97
939;669;669
6062;7660;6062
6009;6021;6009
8625;485;8625
4478;6038;6038
4670;2624;2624
3936;656;656
5978;2825;2825
253;9320;9320
5784;1164;1164
4;3108;4
9083;6099;9083
1422;8533;1422
9466;1658;9466
7890;5721;7890
6637;1485;1485
4412;1220;1220
648;7770;648
7317;6476;6476
5128;2398;2398
8591;3891;8591
4443;8322;4443
4083;7928;7928
5644;2981;2981
1388;8948;8948
6132;4426;4426
3590;6474;3590
1687;4355;4355
5613;1329;5613
8229;1755;8229
6000;9193;9193
525;8853;525
5238;2139;5238
6620;535;6620
1312;7207;7207
5469;3769;5469
5220;8873;5220
